Brand,Generic Category,Category,Sub Category,SKU,Product Name,Product Variant Name,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT,Media URLs,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple TV,MN873HN/A,Apple TV,Apple TV 4K Wi‑Fi with 64GB storage,,,,,,,"14,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple TV,MN893HN/A,Apple TV,Apple TV 4K Wi‑Fi + Ethernet with 128GB storage,,,,,,,"16,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MQDP3HN/A,Magic Keyboard,Magic Keyboard Folio for iPad (A16) - US English,,,,,,,"24,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,HomePod,MQJ73HN/A,HomePod,HomePod - Midnight,,,,,,,"32,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,HomePod,MQJ83HN/A,HomePod,HomePod - White,,,,,,,"32,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MR2C2ZM/A,Lightning to 3.5mm,Lightning to 3.5mm Audio Cable (1.2m) - Black,,,,,,,"3,800.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple Watch,MT0H3ZM/A,Apple Watch Magnetic,Apple Watch Magnetic Fast Charger to USB-C Cable (1 m),,,,,,,"2,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Watch%20Magnetic%20Fast%20Charger%20to%20USB-C%20Cable%20(1%20m)/1PMLWJ3HN1.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Watch%20Magnetic%20Fast%20Charger%20to%20USB-C%20Cable%20(1%20m)/USB-C%20Charge%20Cable%20(1%20m)1.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Watch%20Magnetic%20Fast%20Charger%20to%20USB-C%20Cable%20(1%20m)/Main%20Image.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Watch%20Magnetic%20Fast%20Charger%20to%20USB-C%20Cable%20(1%20m)/1PMLWJ3HN2.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,HomePod,MTJT3HN/A,HomePod mini,HomePod mini - Midnight,,,,,,,"10,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MTJV3HN/A,AirPods Pro 2,AirPods Pro 2,,,,,,,"24,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MUQ93ZM/A,USB-C to Lightning,USB-C to Lightning Cable (1m),,,,,,,"1,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20Lightning%20Cable%20(1m)/4.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20Lightning%20Cable%20(1m)/USB-C%20to%20Lightning%20Cable%20.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20Lightning%20Cable%20(1m)/3.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20Lightning%20Cable%20(1m)/2.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MUQW3ZM/A,Lightning to USB,Lightning to USB Cable (1m),,,,,,,"1,800.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(1m)/4.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(1m)/3.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(1m)/2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(1m)/1.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MUQX3ZM/A,USB-C to Lightning,USB-C to Lightning Adapter,,,,,,,"2,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MUVR3HN/A,20W USB-C Power,20W USB-C Power Adapter,,,,,,,"1,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/20W%20USB-C%20Power%20Adapter/3.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/20W%20USB-C%20Power%20Adapter/2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/20W%20USB-C%20Power%20Adapter/20W%20USB-C%20Power%20Adapter%20copy.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPad,MUWA3ZM/A,Apple Pencil,Apple Pencil (USB-C),,,,,,,"7,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Pencil%20(USB-C)/Apple%20Pencil%20(USB-C)2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Pencil%20(USB-C)/Apple%20Pencil%20(USB-C).webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20Pencil%20(USB-C)/Apple%20Pencil%20(USB-C)1.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2G3HN/A,30W USB-C Power,30W USB-C Power Adapter,,,,,,,"3,800.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2K3HN/A,35W Dual USB-C,35W Dual USB-C Power Adapter,,,,,,,"5,800.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2L3HN/A,96W USB-C Power,96W USB-C Power Adapter,,,,,,,"7,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2M3HN/A,140W USB-C Power,140W USB-C Power Adapter,,,,,,,"9,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2N3HN/A,Power Adapter Extension,Power Adapter Extension Cable,,,,,,,"1,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2P3ZM/A,Lightning to Digital,Lightning to Digital AV Adapter,,,,,,,"5,500.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20Digital%20AV%20Adapter/2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20Digital%20AV%20Adapter/Lightning%20Digital%20AV%20Adapter%20copy.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2Q3ZM/A,USB-C to 3.5,USB-C to 3.5 mm Headphone Jack Adapter,,,,,,,900,,,,,,,,,,,,,,,,,,,,
