BRAND,CATEGORY,SUB CATEGORY,SKU,Description,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT
APPLE,ACCESSORIES,Power & Cables,MW6A3ZM/A,Apple Watch Magnetic Charging Cable (1 m),,,,,,,"2,900.00"
APPLE,ACCESSORIES,Apple iPad Accessories,MWML3ZM/A,USB-C to Apple Pencil Adapter,,,,,,,900.00
APPLE,ACCESSORIES,Mice & Keyboards,MWR03HN/A,Magic Keyboard for iPad Pro 11‑inch (M4) - US English - White,,,,,,,"29,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MWR23HN/A,Magic Keyboard for iPad Pro 11‑inch (M4) - US English - Black,,,,,,,"29,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MWR43HN/A,Magic Keyboard for iPad Pro 13‑inch (M4) - US English - White,,,,,,,"33,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MWR53HN/A,Magic Keyboard for iPad Pro 13‑inch (M4) - US English - Black,,,,,,,"33,900.00"
APPLE,ACCESSORIES,Apple iPhone Accessories,MWTY3ZM/A,EarPods (Lightning Connector),,,,,,,"2,000.00"
APPLE,ACCESSORIES,Apple iPhone Accessories,MWU53ZM/A,Earpods (3.5mm Headphone Plug),,,,,,,"2,000.00"
APPLE,ACCESSORIES,AirPods,MWW43HN/A,AirPods Max - Midnight,,,,,,,"59,900.00"
APPLE,ACCESSORIES,AirPods,MWW53HN/A,AirPods Max - Starlight,,,,,,,"59,900.00"
APPLE,ACCESSORIES,AirPods,MWW63HN/A,AirPods Max - Blue,,,,,,,"59,900.00"
APPLE,ACCESSORIES,AirPods,MWW73HN/A,AirPods Max - Orange,,,,,,,"59,900.00"
APPLE,ACCESSORIES,AirPods,MWW83HN/A,AirPods Max - Purple,,,,,,,"59,900.00"
APPLE,ACCESSORIES,Apple iPad Accessories,MX2D3ZM/A,Apple Pencil Pro,,,,,,,"11,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MX3L2HN/A,Smart Keyboard for iPad (9th generation),,,,,,,"15,900.00"
APPLE,ACCESSORIES,AirTag,MX532ZM/A,AirTag (1 Pack),,,,,,,"3,490.00"
APPLE,ACCESSORIES,AirTag,MX542ZM/A,AirTag (4 Pack),,,,,,,"11,900.00"
APPLE,ACCESSORIES,Power & Cables,MX5J3ZM/A,Lightning to USB 3 Camera Adapter,,,,,,,"4,000.00"
APPLE,ACCESSORIES,Power & Cables,MX6X3ZM/A,MagSafe Charger (1 m),,,,,,,"4,500.00"
APPLE,ACCESSORIES,Power & Cables,MX6Y3ZM/A,MagSafe Charger (2 m),,,,,,,"5,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXCJ3HN/A,Magic Keyboard with Numeric Keypad - US English - Silver,,,,,,,"12,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXCK3HN/A,Magic Keyboard with Touch ID for Mac models with Apple silicon (USB–C) - US English,,,,,,,"14,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXCL3HN/A,Magic Keyboard (USB–C) - US English,,,,,,,"9,500.00"
APPLE,ACCESSORIES,Power & Cables,MXK22ZM/A,Lightning to 3.5 mm Audio Cable (1.2m) - White,,,,,,,"3,800.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXK53ZM/A,Magic Mouse - White Multi-Touch Surface,,,,,,,"7,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXK63ZM/A,Magic Mouse - Black Multi-Touch Surface,,,,,,,"9,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXK73HN/A,Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - US English - White Keys,,,,,,,"17,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXK83HN/A,Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - US English - Black Keys,,,,,,,"19,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXK93ZM/A,Magic Trackpad - White Multi-Touch Surface,,,,,,,"12,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXKA3ZM/A,Magic Trackpad - Black Multi-Touch Surface,,,,,,,"14,500.00"
APPLE,ACCESSORIES,Apple iPad Accessories,MXN43HN/A,Apple Pencil (2nd Generation),,,,,,,"11,900.00"
APPLE,ACCESSORIES,Power & Cables,MXN53HN/A,70W USB-C Power Adapter,,,,,,,"5,800.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXNK2HN/A,Smart Keyboard Folio for iPad Pro 11-inch (4th generation) and iPad Air (5th generation) - US English,,,,,,,"17,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MXNL2HN/A,Smart Keyboard Folio for 12.9-inch iPad Pro (6th generation),,,,,,,"19,900.00"
APPLE,ACCESSORIES,AirPods,MXP63HN/A,AirPods 4,,,,,,,"12,900.00"
APPLE,ACCESSORIES,AirPods,MXP93HN/A,AirPods 4 with Active Noise Cancellation,,,,,,,"17,900.00"
APPLE,ACCESSORIES,HomePod,MY5H2HN/A,HomePod mini - White,,,,,,,"10,900.00"
APPLE,ACCESSORIES,Power & Cables,MYH83HN/A,Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina display),,,,,,,"7,500.00"
APPLE,ACCESSORIES,Power & Cables,MYH93ZM/A,Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,,,,,,,"4,900.00"
APPLE,ACCESSORIES,Apple Mac Accessories,MYJG3HN/A,Apple Studio Display - Standard Glass - Tilt-Adjustable Stand,,,,,,,"159,900.00"
